GENE	FREQ
MAP2K1	1
MAP2K3	1
IL2RA	1
IL2RG	1
CTSZ	1
CYBA	1
CYBB	1
IL12A	1
CYP2C8	1
SP1	1
INHBC	1
NRBP1	1
GCHFR	1
INSL3	1
INSR	1
PSMB6	1
AMFR	1
DARS	1
ANGPTL4	1
MIR300	1
TAS2R38	1
ITGB1	1
PTH	1
PTGS1	1
GADD45A	1
GDI2	1
CD44	1
CEACAM19	1
DFFB	1
PTPRF	1
PTX3	1
PXN	1
REG3A	1
PRRC2A	1
MOK	1
RAN	1
KRT7	1
KRT13	1
KRT14	1
ITCH	1
HDAC6	1
TCO	1
KRT17	1
RBL1	1
RBL2	1
L1CAM	1
MAMLD1	1
ABCB6	1
LAMC2	1
PTPRU	1
LCN2	1
LDHA	1
NUPR1	1
LDHB	1
CSRP3	1
RAD50	1
LIF	1
RNASE1	1
RNASE4	1
SNORA1	1
MYH14	1
EIF2S1	1
LOX	1
EIF4E	1
SNORA73A	1
NOX4	1
CTNNB1	1
EIF1	1
AKAP1	1
LEF1	1
CDK6	1
EP300	1
SMAD2	1
