GENE	FREQ
PPT2	1
PIK3CA	1
PIK3CD	1
HPGD	1
UCHL1	1
RXFP2	1
PLAU	1
CCR7	1
PLCG1	1
ABCC2	1
NME7	1
PLK1	1
DAO	1
SULT4A1	1
EIF2AK3	1
PLXNA2	1
COL1A1	1
COL2A1	1
VIPR2	1
NDST1	1
HTC2	1
WNT2	1
COX8A	1
POU5F1	1
PPARA	1
BCAR1	1
PPAT	1
IFI16	1
YESP	1
YY1	1
CREB1	1
IFNA1	1
IFNA4	1
IFNA8	1
CRP	1
MIR127	1
MIR130A	1
ZNF22	1
KLK4	1
CSF1R	1
IGFBP4	1
PPP5C	1
MIR154	1
PPY	1
MIR183	1
MIR193A	1
PRKAA1	1
PGPEP1	1
CLEC4G	1
CST3	1
MIR20A	1
MIR200C	1
MIR21	1
CTGF	1
MAPK4	1
MAPK6	1
IKBKB	1
MIR224	1
CTSD	1
IL2RA	1
PRLR	1
IL6ST	1
COL1A2	1
CRTC2	1
VEGFC	1
HT	1
HDAC9	1
CYP1A1	1
IL12A	1
MIR93	1
PRSS1	1
TRIT1	1
RSS	1
SSR1	1
DYM	1
PRTN3	1
PSEN2	1
RAPGEF5	1
BCAS3	1
INSL3	1
PYY	1
CD55	1
NOTCH2NL	1
PSMC6	1
PSMD2	1
ISG20	1
VTRNA2-1	1
PTEN	1
ACE	1
ITGAV	1
ITGB1	1
DDC	1
SPANXB1	1
DYT10	1
ITGB5	1
PTPN6	1
PTPN13	1
PTPRA	1
ZEB2	1
PTPRC	1
PTPRF	1
CD59	1
TUBA1A	1
SV2A	1
PDCD4	1
BDNF	1
GFRA3	1
PXN	1
SARDH	1
DNASE1L1	1
NR1I3	1
KNG1	1
GRAP2	1
AIRN	1
DGCR2	1
KRT4	1
DPYD	1
BIRC8	1
GFRA4	1
WNT1	1
TCO	1
BCL2L11	1
KRT18	1
KRT19	1
KRT31	1
RBL2	1
RBP3	1
TNNI3	1
MUC16	1
ABCB6	1
E2F2	1
RELA	1
PTPRU	1
DLL1	1
NUPR1	1
EDA	1
LFNG	1
EDNRA	1
RLN1	1
SLC17A5	1
GAL	1
LIPA	1
FGF2	1
SHH	1
LOXL2	1
EIF4E	1
EIF4EBP1	1
TENM1	1
MMRN2	1
ELANE	1
LRP5	1
ALYREF	1
ELF3	1
ELK1	1
RXFP1	1
CTNNB1	1
AKAP1	1
MIR498	1
TSE2	1
