GENE	FREQ
MBTPS1	6
TNFRSF10B	6
TNFRSF10A	6
CREG1	6
DDR1	6
CASR	6
CCND3	6
CD97	6
CDK3	6
AURKB	6
CDKN1C	6
CLN3	6
ABCG2	6
BCAR1	6
CRABP1	6
CTGF	6
CTSD	6
CYP1A1	6
PHF19	6
TAS2R3	6
FOXP3	6
TCO	6
MAMLD1	6
TENM1	6
GLYAT	6
BET1	6
ESRRB	6
FGFR2	6
DCTN6	6
FAM129A	6
SGSM3	6
GSK3B	6
HHEX	6
SLC5A7	6
HMGCR	6
NR4A1	6
HSP90AA1	6
ITGB1	6
MUC16	6
MLH1	6
MNG1	6
NF1	6
NOS3	6
NPY6R	6
SLC5A8	6
PCSK2	6
PCYT1A	6
PRKAA1	6
PRKAR1A	6
PTPRF	6
RAP1GAP	6
RARS	6
PRRT2	6
RXRA	6
SCN10A	6
SFTPA1	6
SCT	6
SKP2	6
RPIA	6
ERC1	6
STAT1	6
TGM4	6
VIP	6
WT1	6
AOC1	5
ADCY6	5
AXIN1	5
AIF1	5
SLC25A6	5
ANXA1	5
APEX1	5
APP	5
AXL	5
BCR	5
BTD	5
TSPO	5
CA9	5
CALB2	5
CAV2	5
RUNX2	5
CD1A	5
MS4A1	5
TNFRSF8	5
CDK6	5
ADIPOQ	5
GTPBP1	5
CRP	5
PLVAP	5
CYP24A1	5
CD55	5
GADD45A	5
TYMP	5
EDNRA	5
EMD	5
LEF1	5
ETS1	5
EWSR1	5
FGFR4	5
FUT1	5
BBS9	5
GFRA1	5
GNRH1	5
GOT2	5
GSM1	5
GSS	5
NRG1	5
HK2	5
HMGB1	5
HTC2	5
IAPP	5
ID3	5
CGB5	5
CXCL10	5
NOTCH2NL	5
KRT17	5
KAT2B	5
LYZ	5
SMAD6	5
MMP7	5
MMP8	5
MMP13	5
MPO	5
MSH2	5
MT1G	5
MUC2	5
MYB	5
VSX1	5
NEUROD1	5
NFKBIA	5
NOS2	5
TNFRSF11B	5
TERF2IP	5
PLCG1	5
MIR21	5
PTGS1	5
PTPRJ	5
PXN	5
RNASE4	5
IL17F	5
S100P	5
SFTPB	5
ST3	5
