11041454	TSHB
3368333	TSHB
9798467	TSHB
11291053	TSHB
16868055	TSHB
20447896	TSHB
15094441	TSHB
16984246	TSHB
14521888	TSHB
21389143	TSHB
15022491	TSHB
19092294	TSHB
18055421	TSHB
15640900	TSHB
12192551	TSHB
11155213	TSHB
12542401	TSHB
12107237	TSHB
11422105	TSHB
23631133	TSHB
12634964	TSHB
15972576	TSHB
22067268	TSHB
1903197	TSHB
17218724	TSHB
15499298	TSHB
20484385	TSHB
12107225	TSHB
21127756	TSHB
8538619	TSHB
8528355	TSHB
15497927	TSHB
17201802	TSHB
16940367	TSHB
12853977	TSHB
21317830	TSHB
12699436	TSHB
9678534	TSHB
15240622	TSHB
12182045	TSHB
10027006	TSHB
17100547	TSHB
16509525	TSHB
17891252	TSHB
20660054	TSHB
16959467	TSHB
3276396	TSHB
11729583	TSHB
12182050	TSHB
9510128	TSHB
21404570	TSHB
18762555	TSHB
2998424	TSHB
20017617	TSHB
16319807	TSHB
16682940	TSHB
23626005	TSHB
15952413	TSHB
2164546	TSHB
11874417	TSHB
23970782	TSHB
15212646	TSHB
19773371	TSHB
8575487	TSHB
16184253	TSHB
19041828	TSHB
2322802	TSHB
10989968	TSHB
11228048	TSHB
2975038	TSHB
10673852	TSHB
8574299	TSHB
10365671	TSHB
2292657	TSHB
17006844	TSHB
17008858	TSHB
23718885	TSHB
7416187	TSHB
10894560	TSHB
20151824	TSHB
10552086	TSHB
11740053	TSHB
2314197	TSHB
14534005	TSHB
8736512	TSHB
20860423	TSHB
21193871	TSHB
1947763	TSHB
12695789	TSHB
19551443	TSHB
10787191	TSHB
10374014	TSHB
11064390	TSHB
10543413	TSHB
10576761	TSHB
20661558	TSHB
12703121	TSHB
3142712	TSHB
22522710	TSHB
19014658	TSHB
12641624	TSHB
23933699	TSHB
12534353	TSHB
18363882	TSHB
12926147	TSHB
24338678	TSHB
22124360	TSHB
6850505	TSHB
12856803	TSHB
14588100	TSHB
18682151	TSHB
10727004	TSHB
19850694	TSHB
8954034	TSHB
15378648	TSHB
16219716	TSHB
3101253	TSHB
17561976	TSHB
12097198	TSHB
14512328	TSHB
16916491	TSHB
22136265	TSHB
11508827	TSHB
15899815	TSHB
14666632	TSHB
15292295	TSHB
16384850	TSHB
10599717	TSHB
17578824	TSHB
16794517	TSHB
12947323	TSHB
21742463	TSHB
20205098	TSHB
9000596	TSHB
14759077	TSHB
12665314	TSHB
20429310	TSHB
20035348	TSHB
15701340	TSHB
23067402	TSHB
19856257	TSHB
22238400	TSHB
12679418	TSHB
8729520	TSHB
24040896	TSHB
19910901	TSHB
21399390	TSHB
20152708	TSHB
20168289	TSHB
16157530	TSHB
2499241	TSHB
7851142	TSHB
