GENE	FREQ
CRABP1	2
MIRLET7F1	2
CREB1	2
CRK	2
CRP	2
IL1RAP	2
MAPK14	2
IGF2	2
CSF2	2
CSK	2
PKIA	2
CST6	2
XAF1	2
CTNNA1	2
IL8	2
IL10	2
CD86	2
DES	2
PHF19	2
DAPK1	2
TAS2R38	2
ITGAL	2
DDIT3	2
ITK	2
DYT10	2
JAK2	2
JUP	2
CD82	2
CHPT1	2
TMPO	2
PXN	2
RAC1	2
RAD51	2
KRT8	2
RAP1GAP	2
PROM1	2
EXOSC1	2
E2F1	2
ECE1	2
TYMP	2
CDC42	2
EDN1	2
FGFR2	2
ACKR3	2
NEUROD1	2
LIPC	2
HMGA2	2
LMNA	2
RNH1	2
EPHA2	2
HSPG2	2
COIL	2
EPCAM	2
BCR	2
ELL	2
SMAD3	2
SMAD7	2
EPHB6	1
MAGEA3	1
BSG	1
CLDN4	1
EPOR	1
NAT2	1
EPS8	1
SERPINA3	1
EREG	1
IDH1	1
ERCC4	1
ERCC5	1
ERCC6	1
AICDA	1
PCSK2	1
SCG2	1
BET1	1
MARK3	1
MAGIX	1
SYF2	1
EPO	1
RPS6	1
RPS6KB1	1
GLYAT	1
MBD1	1
GTPBP1	1
SHANK1	1
PNKD	1
IER5	1
TAM	1
IFI27	1
EPX	1
RTKN	1
NDRG3	1
POU6F2	1
IGLV7-43	1
IGKV2D-18	1
FAM13B	1
GZMM	1
F9	1
ESCO1	1
ADCY6	1
RXRG	1
ERCC1	1
BRAFP1	1
ADORA1	1
ADORA2A	1
IGLV2-33	1
BPNT1	1
TEC	1
SUCLG1	1
FBN1	1
CAMK2N1	1
ADRBK1	1
NDRG1	1
KITLG	1
PIAS3	1
SYP	1
CPQ	1
ZNRF3	1
ATRAID	1
AGER	1
TLR6	1
ACACA	1
SCN9A	1
FES	1
MLH1	1
KRT14	1
FGF5	1
FGF7	1
HLA-B	1
AKT2	1
FGF13	1
ALDH1A1	1
ALDH1B1	1
MMP8	1
MNAT1	1
ALOX5	1
SDHB	1
SDHC	1
STOML2	1
ALPP	1
VAT1	1
REV1	1
FOXM1	1
KLK15	1
SELP	1
FOXN1	1
MMP7	1
ABCC1	1
TFEC	1
FLNC	1
MAP2K4	1
GNAQ	1
ADCY4	1
STK17B	1
HSD17B7	1
CIB1	1
NAA15	1
CKAP4	1
SLC25A6	1
ANXA1	1
ANXA2	1
ANXA3	1
RPS6KA1	1
ANXA11	1
IYD	1
NOB1	1
NGFRAP1	1
SHBG	1
PHB2	1
DOCK10	1
BIRC2	1
SHOX2	1
MUC15	1
APOA1	1
ESRRG	1
MSH2	1
APOC1	1
SHC3	1
APP	1
FASLG	1
SLA	1
PIAS1	1
GDE1	1
AREG	1
TAP1	1
GUSB	1
FRA10C	1
FRA10G	1
POSTN	1
MT1B	1
CS	1
MAPRE3	1
CYR61	1
MT1H	1
IGF2BP3	1
MT1X	1
HOOK3	1
FGFR4	1
MIR664	1
DKK1	1
LAT	1
SORBS2	1
WDR11	1
RAB27A	1
MTF1	1
STS	1
DCTN6	1
SSTR4	1
ATF7IP	1
KNG1	1
PTCSC3	1
PDGFD	1
ND2	1
PPIL1	1
FTH1	1
PPP5C	1
CD274	1
CCAR2	1
SMN1	1
CYP2R1	1
ATF4	1
FUT1	1
SNAPC4	1
BCAR1	1
GEN1	1
DKK3	1
TSG101	1
KDM1A	1
MYB	1
NPNT	1
MYCN	1
SOX9	1
PAGE1	1
IGHG1	1
MIR135B	1
MIR151A	1
TNFRSF25	1
HBS1L	1
KHDRBS3	1
GSTP1	1
CDH6	1
MBOAT1	1
FAM129A	1
ABCG2	1
NR4A1	1
RAG1	1
RAG2	1
PKD1L1	1
GAS1	1
LIMD2	1
ERVW-1	1
SRF	1
TNFRSF6B	1
MIR193B	1
GBP2	1
GPR3	1
MAP1LC3A	1
GC	1
BCL2A1	1
TNFRSF10B	1
SERP1	1
GDF2	1
SSX1	1
LILRB1	1
GDNF	1
KRT10	1
GFAP	1
EIF4EBP3	1
CASP6	1
KRT13	1
NRP2	1
NOD2	1
ADCY1	1
STK3	1
STK4	1
GJA1	1
LYVE1	1
GTF2IRD1	1
NELL2	1
KANK1	1
AFAP1L2	1
ADCY5	1
GLA	1
PDLIM3	1
ARHGEF28	1
SMARCB1	1
CARD9	1
BTD	1
CALCB	1
H1F0	1
HDAC5	1
BTN1A1	1
NFRKB	1
MINK1	1
GLUL	1
PLOD1	1
NGF	1
CCNA1	1
NHLH1	1
SPRY2	1
RABGEF1	1
GNAI1	1
CAPN5	1
NME2	1
PDGFC	1
ABCB1	1
GGT1	1
MPPED2	1
NOS1	1
IMMT	1
MEN1	1
BTRC	1
MIR375	1
GOT2	1
CA1	1
IRS2	1
TXN	1
CA9	1
TXNRD1	1
TBXAS1	1
CACNA1A	1
DCLRE1C	1
MARCH8	1
PRKDC	1
TYMS	1
HNF1A	1
TRAK2	1
TCF7	1
UTS2R	1
NPY6R	1
CALB2	1
NDRG2	1
CGB5	1
NRCAM	1
GPER1	1
TCP1	1
CALM3	1
CTNND1	1
PAX5	1
GRK5	1
DDR2	1
GPX1	1
RAPGEF4	1
TRG	1
SLC22A16	1
CASP8	1
DUSP5	1
OAS1	1
DYNLT3	1
ACTR1A	1
S100P	1
LMNB2	1
MUC5B	1
CAV3	1
CTSD	1
GPT	1
TERC	1
TERF2	1
MIR26A1	1
TFAP2A	1
TFCP2L1	1
CLDN10	1
CDK2AP2	1
SIRT3	1
HOXB9	1
CTSK	1
TFF3	1
GSTA2	1
TFRC	1
CCNE1	1
LEFTY2	1
TGFBR1	1
TGIF1	1
CD1A	1
PFKM	1
CD3E	1
GTF2H2	1
THM	1
THRA	1
THY1	1
ORAOV1	1
CD14	1
NDRG4	1
NPS	1
TJP1	1
BAZ1B	1
NARFL	1
DTX2P1-UPK3BP1-PMS2P11	1
CD36	1
PDCD5	1
RAPGEF1	1
TLR5	1
SERPINB2	1
PAK1	1
CTNNBL1	1
CD63	1
MDK	1
MIR451A	1
CD74	1
AKAP13	1
TMSB10	1
LPAR2	1
PAX4	1
HADH	1
HARS	1
TNFRSF1A	1
TNFRSF1B	1
CIITA	1
CDH4	1
GNB2L1	1
RELA	1
UGT1A1	1
SERPINA5	1
TP53BP1	1
HTT	1
HDAC1	1
AURKB	1
SRCIN1	1
CDK20	1
CDK9	1
CDKN2B	1
ZNF384	1
PDC	1
PDCD1	1
TRAF2	1
NQO2	1
UBTF	1
MDM4	1
PDGFRA	1
HLA-DPA1	1
PDK1	1
SRGAP1	1
PATZ1	1
CFL1	1
HLA-DQB3	1
SLC26A4	1
RFC2	1
HLA-DRB4	1
CFTR	1
TEF	1
