GENE	FREQ
NEUROD1	1
FCGBP	1
GPC3	1
BAIAP2L1	1
NAE1	1
BHLHE22	1
AQP7	1
TSPO	1
T	1
GNAI1	1
MCAT	1
TAF1	1
NME2	1
GNB3	1
PDGFC	1
TWIST1	1
NOS1	1
COPS5	1
IMMT	1
NOS3	1
TAT	1
NOTCH1	1
MIR375	1
GOT2	1
SPINK5	1
CA12	1
GPR3	1
MIRLET7A1	1
NPR1	1
TRIM2	1
HOXA9	1
CGB5	1
GPER1	1
TCP1	1
CALM3	1
NT5E	1
NTHL1	1
RBPJP3	1
GRK5	1
NTS	1
GPT	1
BAG1	1
GRB10	1
CASP8	1
CASP9	1
RUNX1	1
TEF	1
TF	1
CLDN10	1
SIRT3	1
GSK3B	1
TFF1	1
ITIH5	1
CCNB1	1
TGFA	1
CCNE1	1
TGM4	1
CD1C	1
THM	1
NUDT6	1
THRA	1
CD14	1
CD19	1
MS4A1	1
TIMP3	1
TK1	1
NARFL	1
SLCO2A1	1
QPRT	1
TLR1	1
TLR2	1
TLR4	1
SERPINB2	1
TM7SF2	1
CD74	1
LPAR2	1
PAX2	1
STH	1
MAP3K2	1
HBA1	1
PC	1
PPBPP1	1
TOP2A	1
TRNAS3	1
CDK3	1
AURKB	1
CDK6	1
CDK7	1
TPM3	1
CDKN1C	1
NRG1	1
PDE1C	1
IL32	1
PDE4A	1
PRDX2	1
HK3	1
CEL	1
HLA-DMA	1
PDE6B	1
PDK1	1
MAPKAPK2	1
PATZ1	1
ENPP1	1
HLA-DRB1	1
CGA	1
PHB2	1
TUSC2	1
HMBS	1
HMGB1	1
LCT	1
GTF2I	1
HMGA1	1
NR4A1	1
CHKA	1
CHKB	1
CHRM1	1
IFNG	1
TMEFF2	1
TCEAL1	1
ABCB1	1
CKB	1
SCN10A	1
TYMS	1
TYR	1
TYRO3	1
CKS2	1
S1PR1	1
SERPINA1	1
KRT10	1
HOXD4	1
LMOD1	1
PKM	1
GSN	1
CCR6	1
UQCRB	1
BRD1	1
GSTA2	1
USH2A	1
HIST1H2AH	1
VCP	1
VDR	1
VHL	1
CERK	1
HTC2	1
IGKV2D-18	1
ALDH2	1
VTN	1
SLC2A9	1
WBS2	1
WNT2	1
ICAM2	1
COX6A1	1
MMP11	1
WT1	1
POMC	1
COX8A	1
DUOX2	1
CP	1
POU5F1	1
CLDN7	1
MINPP1	1
GTPBP1	1
CR1	1
CR2	1
CREB1	1
PLOD1	1
SRI	1
IFNA2	1
MIR10B	1
UGT1A1	1
FXYD5	1
CS	1
MIR146A	1
MRPL14	1
IGFBP6	1
CYP2R1	1
IGH	1
SLC22A16	1
MIR181A2	1
CCND3	1
SH3PXD2A	1
IGHG3	1
CSNK1G2	1
PRH2	1
MIR191	1
GEMIN4	1
PRKAR1A	1
MIR200B	1
CTF1	1
DIXDC1	1
CTNNA1	1
MAPK8	1
MAPK9	1
MAPK10	1
FAM20A	1
MAP2K6	1
TIMP4	1
ADAT2	1
IL8	1
GCHFR	1
DPP7	1
CYP1A1	1
MIR92A2	1
ZNF135	1
MIR99B	1
TRIT1	1
IL18	1
SSR1	1
PSG2	1
CYP19A1	1
SERP1	1
INSR	1
NID2	1
NOTCH2NL	1
GDF1	1
IRF3	1
ANGPTL4	1
DBT	1
ITGA5	1
ITGAL	1
ELMO1	1
ITK	1
PTMA	1
CHEK2	1
PTMS	1
CD86	1
NOS2P1	1
RASIP1	1
JUN	1
TGCT1	1
KARS	1
OCIAD1	1
CXCR4	1
MRPS28	1
SCG2	1
DEPTOR	1
MAPKAPK3	1
DIO2	1
DIO3	1
KCNAB1	1
SPANXB1	1
STAT5A	1
KIR3DS1	1
KNG1	1
FGD3	1
RAD51	1
RAD51B	1
RAD52	1
RAF1	1
IVL	1
DPH1	1
RAN	1
DPYD	1
RAP1A	1
KRT13	1
RAP1GAP	1
HRASLS	1
RAP2A	1
RARA	1
KRT16	1
RARS	1
RARRES1	1
DSPP	1
SHFM1	1
RASSF5	1
RBP1	1
MAMLD1	1
RDH10	1
RPSA	1
RELA	1
RDPA	1
CCDC6	1
TBL1XR1	1
ENO1	1
LDLR	1
LPAR1	1
S1PR3	1
LEP	1
RHO	1
RIT1	1
HIPK3	1
NMTC1	1
GAL	1
CTSK	1
RNASE2	1
NAMPT	1
HIPK2	1
EFNB2	1
LMNA	1
EGR2	1
PTPRC	1
MRPS2	1
EPHA2	1
LPO	1
SNORA73A	1
GAN	1
ALYREF	1
SLC45A2	1
ECD	1
DHRS2	1
LYN	1
AKAP1	1
IMMP2L	1
EPCAM	1
TRIB1	1
EP300	1
SMAD3	1
CARD9	1
